Protocol timestamp, Sensor Distance0, Sensor Distance2
     15.238000,  -16.87118,  -5.13803
     15.238500,  -16.83654,  -5.19330
     15.239000,  -16.79918,  -5.25012
     15.239500,  -16.75948,  -5.30772
     15.240000,  -16.71745,  -5.36532
     15.240500,  -16.67269,  -5.42292
     15.241000,  -16.62560,  -5.47975
     15.241500,  -16.57578,  -5.53968
     15.242000,  -16.52363,  -5.59417
     15.242500,  -16.46914,  -5.65878
     15.243000,  -16.41193,  -5.71560
     15.243500,  -16.35238,  -5.78254
     15.244000,  -16.29089,  -5.84170
     15.244500,  -16.22667,  -5.90942
     15.245000,  -16.16012,  -5.97324
     15.245500,  -16.09162,  -6.03941
     15.246000,  -16.02079,  -6.10557
     15.246500,  -15.94762,  -6.17407
     15.247000,  -15.87212,  -6.24490
     15.247500,  -15.79467,  -6.31729
     15.248000,  -15.71527,  -6.39046
     15.248500,  -15.63393,  -6.46519
     15.249000,  -15.55064,  -6.53758
     15.249500,  -15.46502,  -6.61152
     15.250000,  -15.37784,  -6.68547
     15.250500,  -15.28832,  -6.76020
     15.251000,  -15.19647,  -6.83336
     15.251500,  -15.10307,  -6.90653
     15.252000,  -15.00733,  -6.98048
     15.252500,  -14.90964,  -7.05598
     15.253000,  -14.81000,  -7.13149
     15.253500,  -14.70842,  -7.20543
     15.254000,  -14.60490,  -7.28483
     15.254500,  -14.49943,  -7.35800
     15.255000,  -14.39240,  -7.43661
     15.255500,  -14.28342,  -7.51445
     15.256000,  -14.17250,  -7.59229
     15.256500,  -14.06003,  -7.67013
     15.257000,  -13.94599,  -7.74641
     15.257500,  -13.83040,  -7.82425
     15.258000,  -13.71326,  -7.90443
     15.258500,  -13.59455,  -7.98382
     15.259000,  -13.47468,  -8.06633
     15.259500,  -13.35325,  -8.14495
     15.260000,  -13.23027,  -8.22512
     15.260500,  -13.10611,  -8.30607
     15.261000,  -12.98040,  -8.38236
     15.261500,  -12.85353,  -8.46331
     15.262000,  -12.72548,  -8.54193
     15.262500,  -12.59627,  -8.62288
     15.263000,  -12.46550,  -8.70305
     15.263500,  -12.33395,  -8.78089
     15.264000,  -12.20124,  -8.86340
     15.264500,  -12.06735,  -8.94435
     15.265000,  -11.93230,  -9.02453
     15.265500,  -11.79609,  -9.10781
     15.266000,  -11.65909,  -9.18565
     15.266500,  -11.52131,  -9.26583
     15.267000,  -11.38198,  -9.34600
     15.267500,  -11.24187,  -9.42384
     15.268000,  -11.10098,  -9.50401
     15.268500,  -10.95893,  -9.57952
     15.269000,  -10.81609,  -9.65658
     15.269500,  -10.67248,  -9.72975
     15.270000,  -10.52809,  -9.80603
     15.270500,  -10.38292,  -9.87764
     15.271000,  -10.23697,  -9.95081
     15.271500,  -10.09064, -10.02398
     15.272000,   -9.94352, -10.10026
     15.272500,   -9.79641, -10.17265
     15.273000,   -9.64851, -10.25049
     15.273500,   -9.50062, -10.32054
     15.274000,   -9.35234, -10.39605
     15.274500,   -9.20366, -10.46610
     15.275000,   -9.05499, -10.53927
     15.275500,   -8.90593, -10.61088
     15.276000,   -8.75648, -10.68249
     15.276500,   -8.60703, -10.75411
     15.277000,   -8.45758, -10.82494
     15.277500,   -8.30813, -10.89889
     15.278000,   -8.15868, -10.97750
     15.278500,   -8.00884, -11.05690
     15.279000,   -7.85939, -11.13629
     15.279500,   -7.70994, -11.21102
     15.280000,   -7.56087, -11.28574
     15.280500,   -7.41142, -11.35502
     15.281000,   -7.26236, -11.42585
     15.281500,   -7.11369, -11.49357
     15.282000,   -6.96502, -11.55818
     15.282500,   -6.81674, -11.61656
     15.283000,   -6.66923, -11.68661
     15.283500,   -6.52212, -11.75745
     15.284000,   -6.37539, -11.81972
     15.284500,   -6.22983, -11.87888
     15.285000,   -6.08427, -11.93570
     15.285500,   -5.93949, -11.99096
     15.286000,   -5.79588, -12.03611
     15.286500,   -5.65266, -12.08437
     15.287000,   -5.51021, -12.12640
     15.287500,   -5.36854, -12.16143
     15.288000,   -5.22766, -12.20891
     15.288500,   -5.08793, -12.25095
     15.289000,   -4.94860, -12.28831
     15.289500,   -4.81044, -12.33657
     15.290000,   -4.67344, -12.37393
     15.290500,   -4.53723, -12.40662
     15.291000,   -4.40217, -12.44554
     15.291500,   -4.26829, -12.48991
     15.292000,   -4.13597, -12.53194
     15.292500,   -4.00442, -12.57164
     15.293000,   -3.87443, -12.61368
     15.293500,   -3.74560, -12.65649
     15.294000,   -3.61795, -12.70085
     15.294500,   -3.49224, -12.74055
     15.295000,   -3.36770, -12.78103
     15.295500,   -3.24471, -12.81839
     15.296000,   -3.12328, -12.85108
     15.296500,   -3.00341, -12.88144
     15.297000,   -2.88510, -12.91569
     15.297500,   -2.76873, -12.94838
     15.298000,   -2.65353, -12.97640
     15.298500,   -2.54066, -12.99898
     15.299000,   -2.42935, -13.02311
     15.299500,   -2.31999, -13.04646
     15.300000,   -2.21218, -13.06981
     15.300500,   -2.10671, -13.09161
     15.301000,   -2.00279, -13.11262
     15.301500,   -1.90082, -13.13130
     15.302000,   -1.80080, -13.14921
     15.302500,   -1.70311, -13.16322
     15.303000,   -1.60698, -13.17801
     15.303500,   -1.51280, -13.19046
     15.304000,   -1.42056, -13.20058
     15.304500,   -1.33065, -13.21070
     15.305000,   -1.24231, -13.21926
     15.305500,   -1.15630, -13.22627
     15.306000,   -1.07223, -13.22627
     15.306500,   -0.99050, -13.22627
     15.307000,   -0.91071, -13.22627
     15.307500,   -0.83326, -13.22627
     15.308000,   -0.75815, -13.22627
     15.308500,   -0.68537, -13.22471
     15.309000,   -0.61454, -13.22082
     15.309500,   -0.54604, -13.21693
     15.310000,   -0.48027, -13.20992
     15.310500,   -0.41644, -13.20214
     15.311000,   -0.35533, -13.19357
     15.311500,   -0.29657, -13.18423
     15.312000,   -0.23974, -13.17489
     15.312500,   -0.18565, -13.16477
     15.313000,   -0.13427, -13.15310
     15.313500,   -0.08484, -13.14064
     15.314000,   -0.03814, -13.12663
     15.314500,    0.00623, -13.11107
     15.315000,    0.04787, -13.09316
     15.315500,    0.08757, -13.07370
     15.316000,    0.12454, -13.04724
     15.316500,    0.15879, -13.01766
     15.317000,    0.19071, -12.98730
     15.317500,    0.22028, -12.95772
     15.318000,    0.24714, -12.92659
     15.318500,    0.27166, -12.89857
     15.319000,    0.29345, -12.86976
     15.319500,    0.31291, -12.84174
     15.320000,    0.32926, -12.81061
     15.320500,    0.34327, -12.77324
     15.321000,    0.35495, -12.73822
     15.321500,    0.36390, -12.70163
